zip	type	primary_city	state	latitude	longitude
01535	STANDARD	North Brookfield	MA	42.27	-72.08
01536	STANDARD	North Grafton	MA	42.23	-71.69
01537	STANDARD	North Oxford	MA	42.16	-71.88
01538	PO BOX	North Uxbridge	MA	42.05	-71.64
01540	STANDARD	Oxford	MA	42.11	-71.87
01541	STANDARD	Princeton	MA	42.45	-71.86
01542	STANDARD	Rochdale	MA	42.2	-71.9
01543	STANDARD	Rutland	MA	42.36	-71.95
01545	STANDARD	Shrewsbury	MA	42.3	-71.71
01546	UNIQUE	Shrewsbury	MA	42.3	-71.71
01550	STANDARD	Southbridge	MA	42.08	-72.03
01560	STANDARD	South Grafton	MA	42.17	-71.68
01561	PO BOX	South Lancaster	MA	42.44	-71.69
01562	STANDARD	Spencer	MA	42.24	-71.99
01564	STANDARD	Sterling	MA	42.43	-71.75
01566	STANDARD	Sturbridge	MA	42.09	-72.06
01568	STANDARD	Upton	MA	42.17	-71.61
01569	STANDARD	Uxbridge	MA	42.08	-71.6
01570	STANDARD	Webster	MA	42.04	-71.87
01571	STANDARD	Dudley	MA	42.05	-71.93
01580	UNIQUE	Westborough	MA	42.26	-71.61
01581	STANDARD	Westborough	MA	42.26	-71.61
01582	UNIQUE	Westborough	MA	42.26	-71.61
01583	STANDARD	West Boylston	MA	42.36	-71.78
01585	STANDARD	West Brookfield	MA	42.23	-72.14
01586	PO BOX	West Millbury	MA	42.19	-71.76
01588	STANDARD	Whitinsville	MA	42.11	-71.67
01590	STANDARD	Sutton	MA	42.15	-71.76
01601	PO BOX	Worcester	MA	42.26	-71.8
01602	STANDARD	Worcester	MA	42.27	-71.85
01603	STANDARD	Worcester	MA	42.24	-71.84
01604	STANDARD	Worcester	MA	42.25	-71.77
01605	STANDARD	Worcester	MA	42.29	-71.79
01606	STANDARD	Worcester	MA	42.32	-71.8
01607	STANDARD	Worcester	MA	42.23	-71.79
01608	STANDARD	Worcester	MA	42.26	-71.8
01609	STANDARD	Worcester	MA	42.29	-71.83
01610	STANDARD	Worcester	MA	42.25	-71.81
01611	STANDARD	Cherry Valley	MA	42.23	-71.87
01612	STANDARD	Paxton	MA	42.31	-71.93
01613	PO BOX	Worcester	MA	42.26	-71.8
01614	PO BOX	Worcester	MA	42.26	-71.8
01615	PO BOX	Worcester	MA	42.26	-71.8
01653	UNIQUE	Worcester	MA	42.26	-71.8
01654	UNIQUE	Worcester	MA	42.26	-71.8
01655	STANDARD	Worcester	MA	42.26	-71.8
01701	STANDARD	Framingham	MA	42.3	-71.43
01702	STANDARD	Framingham	MA	42.28	-71.44
01703	PO BOX	Framingham	MA	42.3	-71.43
01704	PO BOX	Framingham	MA	42.3	-71.43
01705	PO BOX	Framingham	MA	42.3	-71.43
01718	STANDARD	Village Of Nagog Woods	MA	42.52	-71.43
01719	STANDARD	Boxborough	MA	42.5	-71.5
01720	STANDARD	Acton	MA	42.48	-71.46
01721	STANDARD	Ashland	MA	42.25	-71.46
01730	STANDARD	Bedford	MA	42.48	-71.26
01731	STANDARD	Hanscom Afb	MA	42.46	-71.28
01740	STANDARD	Bolton	MA	42.43	-71.6
01741	STANDARD	Carlisle	MA	42.53	-71.35
01742	STANDARD	Concord	MA	42.45	-71.35
01745	STANDARD	Fayville	MA	42.29	-71.5
01746	STANDARD	Holliston	MA	42.2	-71.43
01747	STANDARD	Hopedale	MA	42.12	-71.54
01748	STANDARD	Hopkinton	MA	42.22	-71.52
01749	STANDARD	Hudson	MA	42.39	-71.56
01752	STANDARD	Marlborough	MA	42.34	-71.54
01754	STANDARD	Maynard	MA	42.42	-71.45
01756	STANDARD	Mendon	MA	42.1	-71.55
01757	STANDARD	Milford	MA	42.14	-71.51
01760	STANDARD	Natick	MA	42.28	-71.35
01770	STANDARD	Sherborn	MA	42.23	-71.36
01772	STANDARD	Southborough	MA	42.3	-71.51
01773	STANDARD	Lincoln	MA	42.41	-71.3
01775	STANDARD	Stow	MA	42.43	-71.5
01776	STANDARD	Sudbury	MA	42.36	-71.4
01778	STANDARD	Wayland	MA	42.36	-71.36
01784	PO BOX	Woodville	MA	42.23	-71.55
01801	STANDARD	Woburn	MA	42.48	-71.15
01803	STANDARD	Burlington	MA	42.5	-71.2
01805	UNIQUE	Burlington	MA	42.5	-71.2
01806	UNIQUE	Woburn	MA	42.47	-71.15
01807	UNIQUE	Woburn	MA	42.48	-71.15
01808	UNIQUE	Woburn	MA	42.5	-71.12
01810	STANDARD	Andover	MA	42.65	-71.14
01812	UNIQUE	Andover	MA	42.65	-71.14
01813	UNIQUE	Woburn	MA	42.48	-71.15
01815	UNIQUE	Woburn	MA	42.48	-71.15
01821	STANDARD	Billerica	MA	42.55	-71.26
01822	PO BOX	Billerica	MA	42.55	-71.26
01824	STANDARD	Chelmsford	MA	42.59	-71.36
01826	STANDARD	Dracut	MA	42.68	-71.3
01827	STANDARD	Dunstable	MA	42.66	-71.48
01830	STANDARD	Haverhill	MA	42.78	-71.08
01831	PO BOX	Haverhill	MA	42.78	-71.08
01832	STANDARD	Haverhill	MA	42.79	-71.13
01833	STANDARD	Georgetown	MA	42.73	-70.98
01834	STANDARD	Groveland	MA	42.75	-71.03
01835	STANDARD	Haverhill	MA	42.75	-71.09
01840	STANDARD	Lawrence	MA	42.71	-71.16
01841	STANDARD	Lawrence	MA	42.71	-71.16
01842	PO BOX	Lawrence	MA	42.7	-71.16
01843	STANDARD	Lawrence	MA	42.7	-71.16
01844	STANDARD	Methuen	MA	42.74	-71.18
01845	STANDARD	North Andover	MA	42.7	-71.11
01850	STANDARD	Lowell	MA	42.66	-71.3
01851	STANDARD	Lowell	MA	42.63	-71.32
01852	STANDARD	Lowell	MA	42.63	-71.3
01853	PO BOX	Lowell	MA	42.63	-71.32
01854	STANDARD	Lowell	MA	42.65	-71.35
01860	STANDARD	Merrimac	MA	42.83	-71
01862	STANDARD	North Billerica	MA	42.58	-71.3
01863	STANDARD	North Chelmsford	MA	42.63	-71.39
